Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,OrderInfo,BinaryFile,,,,,,,,,
"U4,U9,U11,U12,U59,U63,U64,U77,U78,U79,U84,U89,U90,U91",14,74HCT74,,,,Package_DIP:DIP-14_W7.62mm_Socket,https://assets.nexperia.com/documents/data-sheet/74HC_HCT74.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT74N/277271,,,,,,,,,,
"U5,U83",2,74HCT86,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HC86,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT86E/38774,,,,,,,,,,
"U6,U72",2,74HCT02,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74hct02,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT02E/38234,,,,,,,,,,
"U7,U8",2,74HCT73,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS73,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT73E/386078,,,,,,,,,,
"U10,U45",2,74HCT11,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS11,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT11E/38248,,,,,,,,,,
"U13,U15,U17,U19,U25,U27,U33,U73,U81,U100,U101",11,74HCT541,,,,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HCT541,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT541N/277265,,,,,,,,,,
"U14,U16,U18,U20,U22,U24,U26,U28",8,74HCT161,,,,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS161,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT161E/38338,,,,,,,,,,
"U21,U49,U50,U52,U58,U82",6,74HCT08,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS08,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT08E/38240,,,,,,,,,,
U23,1,74HCT573,,,,Package_DIP:DIP-20_W7.62mm_Socket,74xx/74hc573.pdf,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT573E/38717,,,,,,,,,,
"U29,U31,U32,U34,U36,U37,U39,U42,U65,U66,U67,U68,U95,U96",14,74HCT574,,,,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HCT574,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT574E/38721,,,,,,,,,,
"U30,U60,U76,U88",4,74HCT32,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS32,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT32E/38504,,,,,,,,,,
U35,1,74HCT245,,,,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS245,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT245N/277258,,,,,,,,,,
U38,1,74HCT193,,,,Package_DIP:DIP-16_W7.62mm_Socket,https://assets.nexperia.com/documents/data-sheet/74HC_HCT193.pdf,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT193E/38398,,,,,,,,,,
"U40,U41,U105",3,SST39SF010,,,,Package_DIP:DIP-32_W15.24mm_Socket,http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf,https://www.digikey.com/en/products/detail/microchip-technology/SST39SF010A-70-4C-PHE/2297826,"ROM_Code.bin,ROM_H.bin,ROM_L.bin",,,,,,,,,
U43,1,GAL22V10,,,,Package_DIP:DIP-24_W7.62mm_Socket,https://web.mit.edu/6.115/www/document/22v10.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATF22V10C-15PU/1008580,ALUdecoder.jed,,,,,,,,,
"U44,U51",2,74HCT21,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS21,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT21E/386074,,,,,,,,,,
"U46,U47,U48,U54,U55,U56,U80",7,74HCT138,,,,Package_DIP:DIP-16_W7.62mm_Socket,https://www.ti.com/lit/ds/symlink/sn74hct138.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT138N/277254,,,,,,,,,,
"U53,U85",2,74HCT00,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74hct00,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT00E/38232,,,,,,,,,,
"U61,U71,U93",3,74HCT27,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS27,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT27E/1507771,,,,,,,,,,
U62,1,74HCT173,,,,Package_DIP:DIP-16_W7.62mm_Socket,https://www.ti.com/lit/ds/symlink/cd74hc173.pdf,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT173E/38365,,,,,,,,,,
"U69,U70",2,74LS181,,,,Package_DIP:DIP-24_W15.24mm_Socket,74xx/74F181.pdf,https://www.jameco.com/z/SN74LS181N-Texas-Instruments-IC-74LS181-4-Bit-Arithmetic-Logic-Unit_46973.html,,,,,,,,,,
"U74,U75",2,74HCT153,,,,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS153,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT153E/38316,,,,,,,,,,
U86,1,74HCT10,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS10,https://www.digikey.com/en/products/detail/rochester-electronics-llc/CD74HCT10EX/12116752,,,,,,,,,,
"U87,U98,U99",3,74HCT125,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS125,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT125N/376860,,,,,,,,,,
U92,1,74HCT151,,,,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS151,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT151E/38312,,,,,,,,,,
U94,1,74HCT30,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74LS30,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT30E/38500,,,,,,,,,,
U97,1,74HCT139,,,,Package_DIP:DIP-16_W7.62mm_Socket,http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT139E/38264,,,,,,,,,,
"U102,U104",2,HM62256BLP,,,,Package_DIP:DIP-28_W15.24mm,https://web.mit.edu/6.115/www/document/62256.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS6C62256-55PCN/4234592,,,,,,,,,,
U103,1,GAL16V8,,,,Package_DIP:DIP-20_W7.62mm_Socket,https://ece-classes.usc.edu/ee459/library/datasheets/16v8.pdf,https://www.digikey.com/en/products/detail/microchip-technology/ATF16V8B-15PU/1118926,C64MemGAL.jed,,,,,,,,,
